Icegreenhemp Jr the Grandmaster Armsman earned 0 gold on their investments!#June 9, 2023 at 02:02
Buddy the Grandmaster Blacksmith earned 76 gold on their investments!#June 9, 2023 at 02:02
Bruh the Grandmaster Skulker lost -2 gold on their investments!#June 9, 2023 at 02:02
ArSmith the Grandmaster Blacksmith earned 1 gold on their investments!#June 9, 2023 at 02:02
Borgio the Grandmaster Jedi earned 2 gold on their investments!#June 9, 2023 at 02:02
Uncle Bigs the Grandmaster Carpenter earned 1 gold on their investments!#June 9, 2023 at 02:02
Kinral Barthig the Elder Miner earned 18 gold on their investments!#June 9, 2023 at 02:02
Peter Grimm the Grandmaster Archmage lost -15 gold on their investments!#June 9, 2023 at 02:02
Syn Morion the Elder Archmage lost -251 gold on their investments!#June 9, 2023 at 02:02
Syn Morion the Elder Archmage lost -311 gold on their investments!#June 9, 2023 at 02:02
Veryance the Elder Beastmaster earned 4768 gold on their investments!#June 9, 2023 at 02:02
Xena Mistress of Truculence earned 26 gold on their investments!#June 9, 2023 at 02:02
Xena Mistress of Truculence lost -25 gold on their investments!#June 9, 2023 at 02:02
Orion Fireforge the Adept Carpenter earned 127 gold on their investments!#June 9, 2023 at 02:02
Lankylad the Grandmaster Beastmaster earned 695 gold on their investments!#June 9, 2023 at 02:02
Razorspine the Grandmaster Swordsman earned 248 gold on their investments!#June 9, 2023 at 02:02
Garthavan the Grandmaster Scholar earned 0 gold on their investments!#June 9, 2023 at 02:02
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.0 points! #February 2, 2023 at 18:51
Sygnetix the Adept Swordsman studied Herding assiduously and raised the skill 0.4 points! #February 2, 2023 at 18:30
Icegreenhemp Jr the Grandmaster Armsman studied Hiding assiduously and raised the skill 7.1 points! #February 2, 2023 at 14:59
Oogle the Grandmaster Tailor studied AnimalTaming assiduously and raised the skill 2.1 points! #February 2, 2023 at 14:38
Oogle the Grandmaster Tailor studied Magery assiduously and raised the skill 0.2 points! #February 2, 2023 at 11:28
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.0 points! #February 2, 2023 at 10:47
Shin Lin the Grandmaster Skulker studied Tracking assiduously and raised the skill 16.4 points! #February 2, 2023 at 10:45
Oogle the Grandmaster Tailor studied Magery assiduously and raised the skill 1.1 points! #February 2, 2023 at 10:44
In an unmitigated act of pure bloodlust, Slippery Pete the Neophyte Spy butchered corpse of an evil mage#February 2, 2023 at 07:23
Sygnetix the Expert Swordsman sold a ridable llama for 16 gold to the animal broker.#February 2, 2023 at 02:25
Bian the Savage is now a GrandMaster in  Hiding#February 2, 2023 at 02:00
Slothly King the Master Brawler is now a GrandMaster in  Meditation#February 2, 2023 at 00:43
Oogle the Grandmaster Tailor studied Magery assiduously and raised the skill 0.2 points! #February 1, 2023 at 23:47
Sygnetix the Journeyman Swordsman studied Herding assiduously and raised the skill 0.0 points! #February 1, 2023 at 23:32
