UO Animation List
-----------------

(Any animation number not shown below is unused in the default UO client files).


High Detail Critters

Model #		Hex		Description
-------		---		-----------

1		0x1		Ogre
2		0x2		Ettin
3		0x3		Zombie
4		0x4		Gargoyle
5		0x5		Eagle
6		0x6		Bird
7		0x7		Orc Lord
8		0x8		Corpser
9		0x9		Daemon (unarmed)
10		0xA		Daemon (with sword)
12		0xC		Dragon (gray)
13		0xD		Air Elemental
14		0xE		Earth Elemental
15		0xF		Fire Elemental
16		0x10		Water Elemental
17		0x11		Orc (unarmed)
18		0x12		Ettin (with hammer)
21		0x15		Giant Serpent
22		0x16		Gazer
24		0x18		Lich
26		0x1A		Shade
28		0x1C		Giant Spider
29		0x1d		Ape
30		0x1E		Harpy
31		0x1F		Headless
33		0x21		Lizardman (unarmed)
35		0x23		Lizardman (with spear)
36		0x24		Lizardman (with mace)
39		0x27		Mongbat
41		0x29		Orc (with club)
42		0x2A		Rat Man (unarmed)
44		0x2C		Rat Man (with axe)
45		0x2D		Rat Man (with sword)
47		0x2F		Reaper
48		0x30		Scorpion
50		0x32		Skeleton (unarmed)
51		0x33		Slime
52		0x34		Snake
53		0x35		Troll (with axe)
54		0x36		Troll (unarmed)
55		0x37		Troll (with maul)
56		0x38		Sleleton (with axe)
57		0x39		Skeleton (with scimitar)
58		0x3A		Wisp
59		0x3B		Dragon (red)
60		0x3C		Drake (gray)
61		0x3D		Drake (red)
70		0x46		Terethan Warrior
71		0x47		Terethan Drone
72		0x48		Terethan Matriarch
75		0x4B		Titan
76		0x4c		Cyclops
80		0x50		Giant Toad
81		0x51		Bullfrog
85		0x55		Ophidean Mage
86		0x56		Ophidean Warrior
87		0x57		Ophidean Queen
95		0x5F		Unknown Sea Creature
150		0x96		Sea Serpent
151		0x97		Dolphin

Low Detail Critters

200		0xC8		Horse (light brown)
201		0xC9		Cat/HellCat
202		0xCA		Alligator
203		0xCB		Pig
204		0xCC		Horse (Dark Brown)
205		0xCD		Bunny
206		0xCE		Lava Lizard
207		0xCF		Sheep (unsheered)
208		0xD0		Chicken
209		0xD1		Goat
210		0xD2		Desert Ostard
211		0xD3		Bear (Dark Brown)
212		0xD4		Bear (Light Brown)
213		0xD5		Bear (Polar)
214		0xD6		Panther
215		0xD7		Giant Rat
216		0xD8		Cow (Black and White)
217		0xD9		Dog
218		0xDA		Frenzied Ostard
219		0xDB		Forest Ostard
220		0xDC		Llama
221		0xDD		Walrus
223		0xDF		Sheep (sheered)
225		0xE1		Wolf/Hellhound
226		0xE2		Horse (Light Grey)
228		0xE4		Horse (Grey-Brown)
231		0xE7		Cow (Brown)
232		0xE8		Bull (Brown)
233		0xE9		Bull (Black and White)
234		0xEA		Great Hart
237		0xED		Deer
238		0xEE		Rat
290		0x122		Boar
291		0x123		Pack Horse
292		0x124		Pack Llama

People and Accessories

400		0x190		Man
401		0x191		Woman
404		0x194		Hat Floppy
405		0x195		Hat Two Pointed
406		0x196		Hat Cap
407		0x197		Hat Straw Tall
408		0x198		Hat Straw
409		0x199		Hat Wide Brim
410		0x19A		Hat Skullcap
411		0x19B		Hat Feathered
412		0x18C		Hat Pirate
413		0x19D		Hat Jesters
